DATE,EX_NUM,m,n,o,t,ERROR_UXY,ERROR_VXY,ERROR_WXY,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
30-Jul-2017 16:52:02,12,17, 11,10,8, 1.032121e+00,4.104008e-06,1.990299e-06, 2.123397e-06,None,0, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 16:52:13,12,17, 11,10,8, 7.398428e+56,2.983089e+27,1.569065e+13, 8.402233e+33,None,1, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:04:57,12,17, 11,10,8, 1.032121e+00,4.104008e-06,1.990299e-06, 2.123397e-06,None,0, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:05:08,12,17, 11,10,8, 7.398428e+56,2.983089e+27,1.569065e+13, 8.402233e+33,None,1, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:06:07,12,17, 11,10,8, 1.032121e+00,4.104008e-06,1.990299e-06, 2.123397e-06,None,0, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:06:18,12,17, 11,10,8, 7.398428e+56,2.983089e+27,1.569065e+13, 8.402233e+33,None,1, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:15:56,12,17, 11,10,8, 1.032121e+00,4.104008e-06,1.990299e-06, 2.123397e-06,None,0, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:16:07,12,17, 11,10,8, 2.672477e-08,1.925134e-08,1.510276e-08, 1.315068e-08,None,1, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:44:52,12,17, 11,10,8, 1.032121e+00,4.104008e-06,1.990299e-06, 2.123397e-06,None,0, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:45:03,12,17, 11,10,8, 3.160566e-08,1.919738e-08,1.560308e-08, 1.490647e-08,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-12,1.000000e-08, DTQ 
30-Jul-2017 17:45:32,12,17, 11,10,8, 1.031901e+00,4.127348e-06,1.982767e-06, 2.114750e-06,None,0, None,0,None, 0,1.000000e-10,1.000000e-08, DTQ 
30-Jul-2017 17:45:43,12,17, 11,10,8, 3.182730e-08,1.922036e-08,1.576058e-08, 1.517922e-08,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-10,1.000000e-08, DTQ 
30-Jul-2017 17:46:33,12,17, 11,10,8, 1.000017e+00,5.185943e-02,8.535922e-04, 1.363382e-03,None,0, None,0,None, 0,1.000000e-07,1.000000e-05, DTQ 
30-Jul-2017 17:46:44,12,17, 11,10,8, 3.195260e-05,1.923441e-05,1.589725e-05, 1.530628e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-07,1.000000e-05, DTQ 
30-Jul-2017 17:47:26,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
30-Jul-2017 17:47:37,12,17, 11,10,8, 3.172559e-04,1.919768e-04,1.545110e-04, 1.495144e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
30-Jul-2017 19:03:42,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
30-Jul-2017 19:03:53,12,17, 11,10,8, 3.894354e-04,2.656132e-04,2.768006e-04, 8.259018e-01,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
30-Jul-2017 19:05:12,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
30-Jul-2017 19:05:23,12,17, 11,10,8, 3.172559e-04,1.919768e-04,1.545110e-04, 1.495144e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
