DATE,EX_NUM,m,n,o,t,ERROR_UXY,ERROR_VXY,ERROR_WXY,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
10-Oct-2017 15:16:54,7,16, 13,10,8, 2.000000e+00,1.302951e-05,3.579791e-07, 1.506089e-06,None,0, None,0,None, 0,1.000000e-06,1.000000e-06, DTQ 
10-Oct-2017 15:17:03,7,16, 13,10,8, 1.980470e-07,6.698669e-07,1.689539e-07, 2.924446e-07,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-06, DTQ 
10-Oct-2017 15:19:38,12,17, 11,10,8, 2.000000e+00,1.397825e-04,8.938439e-05, 1.389701e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-06, DTQ 
10-Oct-2017 15:19:47,12,17, 11,10,8, 1.673567e-05,1.846478e-05,1.339751e-05, 1.631532e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-06, DTQ 
10-Oct-2017 15:20:10,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
10-Oct-2017 15:20:19,12,17, 11,10,8, 5.890669e-04,6.053376e-04,4.344286e-04, 5.718709e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
10-Oct-2017 15:34:34,12,17, 11,10,8, 2.000000e+00,1.477191e-04,1.268452e-04, 1.582510e-04,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 15:34:43,12,17, 11,10,8, 5.375237e-06,5.579333e-06,3.991345e-06, 5.214778e-06,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 15:37:44,12,17, 11,10,8, 2.000000e+00,1.477191e-04,1.268452e-04, 1.582510e-04,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 16:03:03,12,17, 11,10,8, 1.682191e-04,1.477191e-04,1.268452e-04, 1.582510e-04,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 16:03:11,12,17, 11,10,8, 5.375237e-06,5.579333e-06,3.991345e-06, 5.214778e-06,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 16:05:37,12,17, 11,10,8, 1.682191e-04,1.477191e-04,1.268452e-04, 1.582510e-04,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 16:05:45,12,17, 11,10,8, 5.375237e-06,5.579333e-06,3.991345e-06, 5.214778e-06,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
10-Oct-2017 21:08:19,12,17, 11,10,8, 9.540108e-01,5.318762e-01,2.925152e-01, 2.153222e-01,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, T 
10-Oct-2017 21:08:22,12,17, 11,10,8, 9.540108e-01,5.318761e-01,2.925153e-01, 2.153221e-01,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DT 
10-Oct-2017 21:08:25,12,17, 11,10,8, 1.170400e-07,1.281207e-07,1.573743e-07, 1.025519e-07,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, TQ 
10-Oct-2017 21:08:28,12,17, 11,10,8, 1.713607e-08,1.538729e-08,1.341833e-08, 1.626488e-08,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DTQ 
10-Oct-2017 22:42:45,12,17, 11,10,8, 9.540108e-01,5.318762e-01,2.925152e-01, 2.153221e-01,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, T 
10-Oct-2017 22:42:48,12,17, 11,10,8, 9.540108e-01,5.318761e-01,2.925153e-01, 2.153221e-01,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DT 
10-Oct-2017 22:42:51,12,17, 11,10,8, 2.336802e-08,3.476701e-08,4.058041e-08, 2.451212e-08,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, TQ 
10-Oct-2017 22:42:55,12,17, 11,10,8, 3.538556e-09,5.655957e-09,7.882585e-09, 4.066389e-09,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DTQ 
10-Oct-2017 22:46:31,12,17, 11,10,8, 9.540108e-01,5.318762e-01,2.925152e-01, 2.153222e-01,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, T 
10-Oct-2017 22:46:34,12,17, 11,10,8, 9.540108e-01,5.318761e-01,2.925153e-01, 2.153221e-01,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DT 
10-Oct-2017 22:46:36,12,17, 11,10,8, 1.170400e-07,1.281207e-07,1.573743e-07, 1.025519e-07,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, TQ 
10-Oct-2017 22:46:39,12,17, 11,10,8, 1.713607e-08,1.538729e-08,1.341833e-08, 1.626488e-08,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DTQ 
10-Oct-2017 22:47:46,13,17, 20,14,8, 9.540108e-01,9.920026e-01,6.578511e-01, 1.138405e+00,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, T 
10-Oct-2017 22:47:50,13,17, 20,14,8, 9.540109e-01,9.920027e-01,6.578511e-01, 1.139878e+00,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DT 
10-Oct-2017 22:47:54,13,17, 20,14,8, 8.075179e-08,1.309022e-07,1.071448e-07, 3.587663e-08,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, TQ 
10-Oct-2017 22:47:58,13,17, 20,14,8, 1.970097e-04,2.874786e-02,2.264205e-05, 1.944724e-02,None,0, None,0,None, 0,1.000000e-12,1.000000e-10, DTQ 
