DATE,EX_NUM,m,n,o,t,ERROR_UXY,ERROR_VXY,ERROR_WXY,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
19-Oct-2017 21:03:17,12a,17, 11,10,8, 2.336322e-03,3.574832e-03,4.201579e-03, 2.488232e-03,None,0, None,0,None, 0,1.000000e-06,1.000000e-05, T 
19-Oct-2017 21:03:20,12a,17, 11,10,8, 1.372287e-03,5.876994e-04,8.153685e-04, 4.240990e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-05, DT 
19-Oct-2017 21:03:23,12a,17, 11,10,8, 2.535848e-03,3.550460e-03,4.065182e-03, 2.566859e-03,None,0, None,0,None, 0,1.000000e-06,1.000000e-05, TQ 
19-Oct-2017 21:03:27,12a,17, 11,10,8, 3.770075e-04,5.820008e-04,8.071351e-04, 4.201477e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-05, DTQ 
19-Oct-2017 21:08:16,12a,17, 11,10,8, 2.336322e-03,3.574832e-03,4.201579e-03, 2.488232e-03,None,0, None,0,None, 0,1.000000e-06,1.000000e-05, T 
19-Oct-2017 21:08:19,12a,17, 11,10,8, 1.372287e-03,5.876994e-04,8.153685e-04, 4.240990e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-05, DT 
19-Oct-2017 21:09:11,12a,17, 11,10,8, 9.649834e-03,2.340480e-02,2.663842e-02, 1.989781e-02,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:14,12b,11, 17,10,8, 6.467309e-03,3.630897e-03,8.950287e-03, 4.559815e-03,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:17,12c,10, 11,17,8, 1.883264e-04,1.778915e-04,1.729762e-04, 1.423190e-04,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:43,1a,7, 7,6,4, 2.895498e-07,7.197856e-07,6.118061e-07, 3.683440e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:46,1b,7, 7,6,4, 5.295905e-07,4.324781e-07,4.648289e-07, 4.578678e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:48,1c,6, 7,7,4, 3.197376e-07,2.603432e-07,3.710560e-07, 6.466376e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:56,2a,13, 11,10,8, 1.642488e-01,1.669720e-01,1.694645e-01, 5.134625e-02,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:09:59,2b,11, 13,10,8, 2.768141e-01,2.780565e-01,4.920216e-01, 1.257791e-01,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:10:02,2c,10, 11,13,8, 6.297176e-03,4.942927e-03,5.486720e-03, 2.445556e-03,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:12:09,1a,7, 7,6,4, 2.895498e-07,7.197856e-07,6.118061e-07, 3.683440e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:12:12,1b,7, 7,6,4, 5.295905e-07,4.324781e-07,4.648289e-07, 4.578678e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:12:14,1c,6, 7,7,4, 3.197376e-07,2.603432e-07,3.710560e-07, 6.466376e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:16:11,1a,11, 11,6,4, 1.314280e-06,1.665379e-06,1.172870e-06, 6.869773e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:16:19,1b,11, 11,6,4, 4.145942e-07,5.898811e-07,2.771587e-07, 4.297434e-07,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:16:22,1c,6, 11,11,4, 2.432947e-06,3.153141e-06,2.818793e-06, 1.774731e-06,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:16:58,1a,11, 11,6,4, 2.677836e-05,4.054741e-05,7.080173e-05, 5.588735e-05,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
19-Oct-2017 21:17:00,1b,11, 11,6,4, 1.022661e-05,9.467484e-06,2.715577e-05, 2.926553e-05,Geometric Mean Matlab Method,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
