DATE,EX_NUM,m,n,o,t,ERROR_UXY,ERROR_VXY,ERROR_WXY,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
04-Oct-2017 18:04:42,7,10, 13,16,8, 6.773442e-05,5.522379e-05,9.998788e-01, 3.084276e-05,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:04:49,7,10, 13,16,8, 1.196439e-04,1.600440e-03,9.384874e-01, 5.024622e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:05:19,7,10, 13,16,8, 6.773442e-05,5.522379e-05,9.998788e-01, 3.084276e-05,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:09:59,7,10, 13,16,8, 6.773442e-05,5.522379e-05,9.998788e-01, 3.084276e-05,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:10:06,7,10, 13,16,8, 1.196439e-04,1.600440e-03,9.384874e-01, 5.024622e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:31:23,8,14, 15,14,12, NaN,8.115164e-03,4.074054e-05, 1.000011e+00,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:31:35,8,14, 15,14,12, NaN,6.179151e-03,5.378941e-03, 7.569180e-03,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
04-Oct-2017 18:32:24,8,14, 15,14,12, NaN,9.527812e-07,7.005143e-07, 1.000159e+00,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:32:37,8,14, 15,14,12, NaN,1.504413e-05,1.299928e-05, 1.757324e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:33:20,8,14, 15,14,12, NaN,9.527812e-07,7.005143e-07, 1.000159e+00,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:33:32,8,14, 15,14,12, NaN,1.504413e-05,1.299928e-05, 1.757324e-05,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:45:06,8,14, 15,14,12, 6.316404e-07,4.967320e-07,4.353806e-07, 1.930831e-06,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:45:17,8,14, 15,14,12, 1.056285e-05,9.247963e-06,9.328375e-06, 8.750779e-06,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:45:49,10,8, 11,10,6, 2.000000e+00,2.000000e+00,2.000000e+00, 2.000000e+00,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:45:52,10,8, 11,10,6, 9.083039e-08,4.576999e-07,1.513806e-06, 1.911735e-07,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:46:45,10,8, 11,10,6, 2.000000e+00,2.000000e+00,2.000000e+00, 2.000000e+00,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:46:49,10,8, 11,10,6, 9.083039e-08,4.576999e-07,1.513806e-06, 1.911735e-07,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:48:12,10,8, 11,10,6, 2.000000e+00,2.000000e+00,2.000000e+00, 2.000000e+00,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:48:16,10,8, 11,10,6, 9.083039e-08,4.577000e-07,1.517372e-06, 1.912454e-07,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:48:31,10,8, 11,10,6, 2.000000e+00,2.000000e+00,2.000000e+00, 2.000000e+00,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:48:34,10,8, 11,10,6, 9.083039e-08,4.576999e-07,1.513806e-06, 1.911735e-07,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:52:11,10,8, 11,10,6, 8.997811e-08,1.495820e-06,2.710331e-06, 1.675323e-07,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:52:15,10,8, 11,10,6, 9.083039e-08,4.576999e-07,1.513806e-06, 1.911735e-07,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:55:47,3,16, 17,16,14, 3.179802e-07,6.510310e-04,1.556051e-06, 9.700600e-08,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:56:05,3,16, 17,16,14, 5.217238e-08,4.855233e-07,4.823494e-08, 6.865683e-08,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
04-Oct-2017 18:57:48,4,7, 9,7,5, 8.243076e-08,2.215378e-03,3.955888e-07, 4.803969e-07,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
