DATE, EX_NUM, m, n, t, ERROR_UXY, ERROR_VXY, ERROR_DXY, MEAN_METHOD, BOOL_ALPHA_THETA, LOW_RANK_APPROX_METHOD, LRA_ITE, APF_METHOD, APF_ITE, error_min, error_max, SUBRESULTANT_FORMAT, RANK_REVEALING_METRIC 
22-Jun-2017 23:19:44,1,7,7,4,3.431025e-11,3.539234e-11,1.291866e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
22-Jun-2017 23:19:47,2,13,11,8,5.010986e-10,3.582473e-10,3.276502e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:19:48,1,7,7,4,1.825980e-10,1.332041e-10,1.565176e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Norms 
22-Jun-2017 23:19:48,3,20,21,16,1.590231e-08,1.793815e-08,2.871979e-09,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:19:49,4,10,12,8,1.351649e-11,2.519132e-11,1.198820e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:19:53,1,7,7,4,1.825980e-10,1.332041e-10,1.565176e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Diagonals 
22-Jun-2017 23:19:54,2,13,11,8,5.010986e-10,3.582473e-10,3.276502e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:19:55,4,10,12,8,1.351649e-11,2.519132e-11,1.198820e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
22-Jun-2017 23:19:57,1,7,7,4,1.825980e-10,1.332041e-10,1.565176e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,Minimum Singular Values 
22-Jun-2017 23:20:01,1,7,7,4,3.430917e-11,3.539168e-11,1.291832e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Norms 
22-Jun-2017 23:20:01,2,13,11,8,5.010986e-10,3.582473e-10,3.276502e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
22-Jun-2017 23:20:02,4,10,12,8,7.780328e-11,6.241761e-11,9.673360e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Norms 
22-Jun-2017 23:20:05,1,7,7,4,3.430917e-11,3.539168e-11,1.291832e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Diagonals 
22-Jun-2017 23:20:08,4,10,12,8,7.780328e-11,6.241761e-11,9.673360e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Diagonals 
22-Jun-2017 23:20:09,2,13,11,8,1.248801e-02,5.717494e-07,3.328185e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Norms 
22-Jun-2017 23:20:10,1,7,7,4,3.430917e-11,3.539168e-11,1.291832e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,Minimum Singular Values 
22-Jun-2017 23:20:14,1,7,7,4,3.430927e-11,3.539185e-11,1.291818e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Norms 
22-Jun-2017 23:20:14,4,10,12,8,7.780328e-11,6.241761e-11,9.673360e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,Minimum Singular Values 
22-Jun-2017 23:20:16,2,13,11,8,1.248801e-02,5.717494e-07,3.328185e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Diagonals 
22-Jun-2017 23:20:18,1,7,7,4,3.430927e-11,3.539185e-11,1.291818e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Diagonals 
22-Jun-2017 23:20:19,3,20,21,16,1.590231e-08,1.793815e-08,2.871979e-09,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:20:21,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Norms 
