DATE,EX_NUM,m,n,t,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
18-Nov-2016 11:12:57,2,13,11,8,1.687878e-04,None,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:13:06,2,13,11,8,1.109737e-04,None,n,Standard STLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:13:12,3,16,17,14,1.823236e-06,Geometric Mean Matlab Method,y,Standard STLN,2,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:13:14,2,13,11,8,9.289683e-06,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:13:25,1,7,7,4,6.150689e-01,Geometric Mean Matlab Method,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:13:34,1,7,7,4,3.444903e-08,Geometric Mean Matlab Method,y,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:13:41,1,7,7,4,3.179870e-09,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:13:48,1,7,7,4,1.435634e-08,Geometric Mean Matlab Method,n,Standard SNTLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:13:54,1,7,7,4,1.648183e-08,Geometric Mean Matlab Method,n,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:13:55,3,16,17,14,1.057758e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:14:01,1,7,7,4,8.638069e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:14:12,1,7,7,4,6.150313e-01,None,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:14:20,3,16,17,14,1.507538e-01,Geometric Mean Matlab Method,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:14:20,1,7,7,4,1.396227e-07,None,y,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:14:27,1,7,7,4,3.179240e-09,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
