DATE,EX_NUM,m,n,o,t,ERROR_UXY,ERROR_VXY,ERROR_WXY,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
06-Aug-2017 00:54:11,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 00:54:46,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 00:54:57,12,17, 11,10,8, 3.117769e-04,2.741935e-04,2.412265e-04, 2.620859e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 00:56:10,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, T 
06-Aug-2017 00:56:14,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DT 
06-Aug-2017 00:56:18,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, TQ 
06-Aug-2017 00:56:22,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 00:57:05,12,17, 11,10,8, 1.000035e+00,2.251052e+00,7.151246e-01, 8.737361e-01,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, T 
06-Aug-2017 00:57:15,12,17, 11,10,8, 4.530839e+01,2.286789e+00,7.372716e-01, 4.697037e+01,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DT 
06-Aug-2017 00:57:25,12,17, 11,10,7, ,,, ,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, TQ 
06-Aug-2017 00:57:38,12,17, 11,10,8, 3.117769e-04,2.741935e-04,2.412265e-04, 2.620859e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:04:19,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:04:33,12,17, 11,10,8, 3.117769e-04,2.741935e-04,2.412265e-04, 2.620859e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:42:16,12,10, 11,17,8, 1.326488e-02,1.778197e-02,1.000003e+00, 1.723227e-02,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:42:25,12,10, 11,17,8, 9.785250e-04,1.008316e-03,1.434977e-03, 1.130102e-03,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:44:12,12,10, 11,17,8, 1.326488e-02,1.778197e-02,1.000003e+00, 1.723227e-02,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:44:20,12,10, 11,17,8, 9.785250e-04,1.008316e-03,1.434977e-03, 1.130102e-03,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:53:49,12,10, 11,17,8, 1.326488e-02,1.778197e-02,1.000003e+00, 1.723227e-02,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:53:57,12,10, 11,17,8, 9.785250e-04,1.008316e-03,1.434977e-03, 1.130102e-03,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:55:03,12,17, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 16:55:13,12,17, 11,10,8, 3.041321e-04,4.636015e-04,3.662246e-04, 3.858497e-04,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 21:55:19,13,17, 20,14,8, 1.000000e+00,1.000000e+00,9.756656e-01, 4.553856e+08,None,0, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
06-Aug-2017 21:55:42,13,17, 20,14,8, 1.181597e-05,2.433215e-04,1.963314e-05, 4.494174e-06,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-08,1.000000e-06, DTQ 
06-Aug-2017 22:23:21,5,3, 3,4,2, 7.117214e-04,6.480693e-04,7.362719e-01, 4.158641e-01,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, T 
06-Aug-2017 22:23:23,5,3, 3,4,2, 1.094616e-03,9.876141e-04,7.355245e-01, 4.157127e-01,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DT 
06-Aug-2017 22:23:26,5,3, 3,4,2, 7.117214e-04,6.480693e-04,5.856542e-04, 6.389185e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, TQ 
06-Aug-2017 22:23:29,5,3, 3,4,2, 1.097555e-03,9.902559e-04,9.959844e-04, 1.069671e-03,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 22:23:52,6,8, 7,8,6, 7.727260e-01,1.531899e-03,7.357355e-01, 3.598077e-01,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, T 
06-Aug-2017 22:23:55,6,8, 7,8,6, 7.742694e-01,6.026758e-05,7.373727e-01, 3.602937e-01,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DT 
06-Aug-2017 22:23:58,6,8, 7,8,6, 1.215768e-03,1.543998e-03,1.177716e-03, 7.717203e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, TQ 
06-Aug-2017 22:24:01,6,8, 7,8,6, 9.127518e-05,5.785429e-05,8.011950e-05, 1.307663e-04,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 22:25:07,7,14, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, T 
06-Aug-2017 22:25:10,7,14, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DT 
06-Aug-2017 22:25:14,7,14, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, TQ 
06-Aug-2017 22:25:17,7,14, 11,10,9, ,,, ,None,0, None,0,None, 0,1.000000e-06,1.000000e-04, DTQ 
06-Aug-2017 22:32:55,7,14, 11,10,8, 9.259813e-01,2.287713e+00,7.382396e-01, 9.384404e-01,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, T 
06-Aug-2017 22:33:02,7,14, 11,10,8, 1.878998e+01,2.288147e+00,7.374732e-01, 1.605277e+00,Geometric Mean Matlab Method,1, None,0,None, 0,1.000000e-06,1.000000e-04, DT 
